title;description;link;pubDate;creator
"Cathay threatens to fire staff over 'illegal' HK protests";"The airline has already sacked two employees for conduct tied to demonstrations in Hong Kong.";"https://www.bbc.co.uk/news/business-49317221";"12 sierpnia 2019 12:08:39";""
"Versace apologises after T-shirt angers China";"The luxury label is the latest firm to face backlash for not adhering to China's territorial claims.";"https://www.bbc.co.uk/news/business-49315317";"12 sierpnia 2019 11:08:31";""
"Student side-hustles to help pay for university";"Young entrepreneurs move beyond bar work to earn enough to enjoy university life.";"https://www.bbc.co.uk/news/business-49295041";"12 sierpnia 2019 08:08:13";""
"Burford says its shares have been 'illegally' manipulated";"Burford, which saw its shares halve last week, says traders sought to deliberately depress the price.";"https://www.bbc.co.uk/news/business-49316790";"12 sierpnia 2019 16:08:00";""
"Argentine leader Mauricio Macri trounced in primary vote";"The primaries are a good indicator of who may win the presidential elections later this year.";"https://www.bbc.co.uk/news/world-latin-america-49317750";"12 sierpnia 2019 17:08:45";""
"South Korea hits back at Japan in WW2 dispute";"South Korea has taken Japan off its trusted export list, deepening a rift over wartime compensation.";"https://www.bbc.co.uk/news/business-49317461";"12 sierpnia 2019 10:08:15";""
"Former Goals Soccer Centres executives under investigation";"East Kilbride-based firm Goals says its two founders are part of a probe into historic financial irregularities.";"https://www.bbc.co.uk/news/uk-scotland-scotland-business-49320770";"12 sierpnia 2019 14:08:37";""
"Gambling companies see huge rise in complaints";"Complaints about UK betting companies have increased almost 5,000% in the past five years.";"https://www.bbc.co.uk/news/business-49284169";"12 sierpnia 2019 09:08:24";""
"Tech firms face fines for harmful videos from regulator Ofcom";"The UK plans to give new powers to the media regulator in order to comply with EU law.";"https://www.bbc.co.uk/news/technology-49317390";"12 sierpnia 2019 10:08:56";""
"High Streets hit as shop vacancy rate worst since 2015";"Empty shops rise in July, while visitor numbers continue to fall, the latest industry figures show.";"https://www.bbc.co.uk/news/business-49311298";"12 sierpnia 2019 09:08:53";""
"RBS 'set to appoint Rose as next boss'";"Royal Bank of Scotland is poised to name Alison Rose as its first female chief executive, reports say.";"https://www.bbc.co.uk/news/business-49310570";"11 sierpnia 2019 10:08:03";""
"SSE in talks with Ovo over sale of UK energy business";"If a deal is reached, Ovo would become the UK's second largest energy firm.";"https://www.bbc.co.uk/news/business-49310574";"11 sierpnia 2019 11:08:55";""
"UK power cut: Andrea Leadsom launches government investigation";"A committee will look at whether National Grid's procedures are fit for purpose.";"https://www.bbc.co.uk/news/uk-49309691";"11 sierpnia 2019 09:08:42";""
"The town battling the High Street blues";"Stockton-on-Tees has made great efforts to regenerate its town centre, but with mixed results.";"https://www.bbc.co.uk/news/business-your-money-49295651";"12 sierpnia 2019 09:08:32";""
"Why smartphones are no longer driving the search for 'blue gold'";"Despite mine closures, human rights abuses and price crashes, cobalt may still have an electrifying future.";"https://www.bbc.co.uk/news/business-49265455";"11 sierpnia 2019 01:08:48";""
"Tesla motors make classic Ferraris go faster";"Electric cars have to be as cool as petrol ones to really take off, and these engineers think they can be";"https://www.bbc.co.uk/news/business-48956000";"09 sierpnia 2019 01:08:53";""
"What is the UK's GDP?";"A basic guide to how the economy is measured and what that calculation is used for.";"https://www.bbc.co.uk/news/business-13200758";"09 sierpnia 2019 10:08:13";""
"Zara uncovered: Inside the brand that changed fashion";"How is the Spanish clothing giant able to buck the trend of many of its struggling High Street competitors?";"https://www.bbc.co.uk/news/business-49268965";"08 sierpnia 2019 01:08:41";""
"What's wrong with buying a dinosaur?";"There's a growing fashion for fossils, but some argue it is undermining scientific research.";"https://www.bbc.co.uk/news/business-48472588";"08 sierpnia 2019 01:08:48";""
"No-deal Brexit: 'Big unanswered questions' for UK music";"Touring will be "chaos" and copyright is "up in the air" after a no-deal Brexit, warn music bosses.";"https://www.bbc.co.uk/news/entertainment-arts-49239002";"07 sierpnia 2019 01:08:42";""
"If one drone isn't enough, try a drone swarm";"Co-operating flying drones could survey crops very quickly, but at what cost?";"https://www.bbc.co.uk/news/business-49177704";"06 sierpnia 2019 01:08:17";""
"Engineered in Africa: 'We knew the talent was there'";"Christina Sass of software engineer recruitment firm Andela says that talent can be found anywhere.";"https://www.bbc.co.uk/news/business-49207040";"06 sierpnia 2019 14:08:09";""
"The 'microworkers' making your digital life possible";"Who are the world's "microworkers" who make everybody's digital lives possible?";"https://www.bbc.co.uk/news/business-48881827";"02 sierpnia 2019 01:08:35";""
"Exchange rates: Why is the pound getting weaker?";"A simple guide to how currency is valued and what it means for your finances";"https://www.bbc.co.uk/news/business-49179234";"09 sierpnia 2019 16:08:23";""
"'They offered me cash bonuses to keep gambling'";"In total, Amanda lost Â£633,000 from gambling, placing her last bet on the day she was made bankrupt.";"https://www.bbc.co.uk/news/uk-49314326";"12 sierpnia 2019 01:08:13";""
"How the plastic bag became a million dollar idea";"The BBC's Aaron Heslehurst explains how the plastic bag became a million dollar idea.";"https://www.bbc.co.uk/news/business-49265906";"09 sierpnia 2019 01:08:57";""
"'Treat your customers as all-knowing'";"Treat your customers as "all knowing", says beauty and fashion firm boss Michael Broukhim.";"https://www.bbc.co.uk/news/business-49250446";"07 sierpnia 2019 01:08:51";""
"No-deal Brexit: How might it affect the EU?";"The BBC's Adam Fleming explains what a no-deal Brexit might mean for the 27 EU countries.";"https://www.bbc.co.uk/news/uk-politics-49259642";"07 sierpnia 2019 03:08:16";""
"How Brexit could change the taste of whisky";"A future trade deal between the UK and US could alter current regulations of whisky.";"https://www.bbc.co.uk/news/uk-49242865";"06 sierpnia 2019 01:08:04";""
